candidate_id,rank,score,reasoning
CAND_0037566,37,0.9650,"Machine Learning Engineer with 6.9 years of experience. Strong background in Elasticsearch, Eval Metrics, LoRA. Located in Bangalore, Karnataka with a 15-day notice period."
CAND_0068811,38,0.9626,"Applied ML Engineer with 8.0 years of experience. Strong background in Embeddings, Eval Metrics, OpenSearch. Located in Pune, Maharashtra with a 30-day notice period."
CAND_0051004,39,0.9623,"Senior Data Scientist with 4.7 years of experience. Strong background in Embeddings, Eval Metrics, LoRA. Located in Delhi, Delhi with a 15-day notice period."
CAND_0017960,40,0.9616,"Recommendation Systems Engineer with 7.7 years of experience. Strong background in Eval Metrics, Information Retrieval, PEFT. Located in Bangalore, Karnataka with a 60-day notice period."
CAND_0073982,41,0.9595,"Data Scientist with 7.0 years of experience. Strong background in Elasticsearch, FAISS, Fine-Tuning. Located in Delhi, Delhi with a 60-day notice period."
CAND_0091909,42,0.9595,"Machine Learning Engineer with 6.9 years of experience. Strong background in Learning to Rank, MLflow, OpenSearch. Located in Bangalore, Karnataka with a 45-day notice period."
CAND_0075574,43,0.9574,"Machine Learning Engineer with 5.7 years of experience. Strong background in Elasticsearch, Eval Metrics, OpenSearch. Located in Bangalore, Karnataka with a 60-day notice period."
CAND_0040178,44,0.9565,"ML Engineer with 5.0 years of experience. Strong background in Eval Metrics, Fine-Tuning, Learning to Rank. Located in Pune, Maharashtra with a 60-day notice period."
CAND_0009837,45,0.9559,"Senior Data Scientist with 4.3 years of experience. Strong background in FAISS, Learning to Rank, QLoRA. Located in Noida, Uttar Pradesh with a 60-day notice period."
CAND_0033861,46,0.9548,"Senior NLP Engineer with 8.0 years of experience. Strong background in Elasticsearch, Eval Metrics, Fine-Tuning. Based in Vizag, Andhra Pradesh (30-day notice period)."
CAND_0010149,47,0.9546,"ML Engineer with 6.9 years of experience. Strong background in Elasticsearch, Eval Metrics, Learning to Rank. Located in Bangalore, Karnataka with a 90-day notice period."
CAND_0036863,48,0.9538,"Senior Data Scientist with 4.3 years of experience. Strong background in Eval Metrics, FAISS, LoRA. Willing to relocate (currently Chennai, Tamil Nadu) with a 60-day notice period."
CAND_0062247,49,0.9534,"AI Engineer with 7.3 years of experience. Strong background in Information Retrieval, Learning to Rank, PEFT. Willing to relocate (currently Kochi, Kerala) with a 30-day notice period."
CAND_0045250,50,0.9522,"Applied ML Engineer with 6.6 years of experience. Strong background in Embeddings, LoRA, MLflow. Located in Delhi, Delhi with a 15-day notice period."
CAND_0058688,51,0.9522,"AI Engineer with 6.7 years of experience. Strong background in Embeddings, Information Retrieval, Milvus. Willing to relocate (currently Berlin) with a 15-day notice period."
CAND_0053527,52,0.9518,"Junior ML Engineer with 7.0 years of experience. Strong background in Eval Metrics, Fine-Tuning, MLOps. Located in Bangalore, Karnataka with a 90-day notice period."
CAND_0030946,53,0.9514,"Junior ML Engineer with 6.7 years of experience. Strong background in Elasticsearch, Embeddings, Fine-Tuning. Located in Mumbai, Maharashtra with a 60-day notice period."
CAND_0092255,54,0.9514,"ML Engineer with 5.2 years of experience. Strong background in Eval Metrics, Learning to Rank, MLOps. Located in Noida, Uttar Pradesh with a 60-day notice period."
CAND_0038368,55,0.9504,"ML Engineer with 5.4 years of experience. Strong background in Embeddings, FAISS, MLflow. Located in Hyderabad, Telangana with a 30-day notice period."
CAND_0013393,56,0.9499,"ML Engineer with 5.3 years of experience. Strong background in Embeddings, Eval Metrics, MLflow. Located in Bangalore, Karnataka with a 60-day notice period."
CAND_0015578,57,0.9495,"AI Engineer with 5.4 years of experience. Strong background in Embeddings, Eval Metrics, FAISS. Located in Delhi, Delhi with a 90-day notice period."
CAND_0077337,58,0.9485,"Staff Machine Learning Engineer with 7.0 years of experience. Strong background in Eval Metrics, Fine-Tuning, Information Retrieval. Willing to relocate (currently Kochi, Kerala) with a 60-day notice period."
CAND_0039383,59,0.9483,"Applied ML Engineer with 7.1 years of experience. Strong background in Elasticsearch, FAISS, LoRA. Located in Gurgaon, Haryana with a 90-day notice period."
CAND_0093193,60,0.9483,"Senior Machine Learning Engineer with 7.9 years of experience. Strong background in OpenSearch, Qdrant. Located in Bangalore, Karnataka with a 45-day notice period."
CAND_0060538,61,0.9477,"ML Engineer with 5.2 years of experience. Strong background in Embeddings, Fine-Tuning, Milvus. Located in Pune, Maharashtra with a 90-day notice period."
CAND_0072688,62,0.9461,"Data Scientist with 6.9 years of experience. Strong background in Fine-Tuning, LoRA, Milvus. Located in Pune, Maharashtra with a 45-day notice period."
CAND_0030827,63,0.9456,"Senior Data Scientist with 5.4 years of experience. Strong background in FAISS, Learning to Rank, NLP. Based in Singapore (120-day notice period)."
CAND_0001707,64,0.9444,"Data Scientist with 5.6 years of experience. Strong background in FAISS, Fine-Tuning, MLflow. Located in Pune, Maharashtra with a 90-day notice period."
CAND_0012837,65,0.9443,"Junior ML Engineer with 6.4 years of experience. Strong background in Eval Metrics, MLOps, NLP. Willing to relocate (currently Chandigarh, Chandigarh) with a 60-day notice period."
CAND_0087630,66,0.9435,"AI Engineer with 7.2 years of experience. Strong background in Elasticsearch, Embeddings, Learning to Rank. Located in Gurgaon, Haryana with a 30-day notice period."
CAND_0045141,67,0.9432,"Data Scientist with 5.3 years of experience. Strong background in Eval Metrics, FAISS, MLOps. Willing to relocate (currently Kochi, Kerala) with a 30-day notice period."
CAND_0018549,68,0.9419,"Recommendation Systems Engineer with 6.8 years of experience. Strong background in Elasticsearch, Milvus, OpenSearch. Willing to relocate (currently Coimbatore, Tamil Nadu) with a 60-day notice period."
CAND_0032216,69,0.9401,"ML Engineer with 6.1 years of experience. Strong background in Information Retrieval, Learning to Rank, MLOps. Willing to relocate (currently Chennai, Tamil Nadu) with a 30-day notice period."
CAND_0095213,70,0.9401,"ML Engineer with 5.1 years of experience. Strong background in LoRA, Milvus, PEFT. Located in Gurgaon, Haryana with a 60-day notice period."
CAND_0020877,71,0.9398,"Applied ML Engineer with 5.1 years of experience. Strong background in Elasticsearch, Eval Metrics, Information Retrieval. Located in Gurgaon, Haryana with a 60-day notice period."
CAND_0098846,72,0.9386,"AI Engineer with 7.6 years of experience. Strong background in Eval Metrics, MLOps, PEFT. Willing to relocate (currently Indore, Madhya Pradesh) with a 45-day notice period."
CAND_0073504,73,0.9384,"Junior ML Engineer with 6.6 years of experience. Strong background in Elasticsearch, Eval Metrics, MLflow. Located in Gurgaon, Haryana with a 60-day notice period."
CAND_0047327,74,0.9380,"Junior ML Engineer with 5.0 years of experience. Strong background in Elasticsearch, Eval Metrics, FAISS. Located in Gurgaon, Haryana with a 60-day notice period."
CAND_0074731,75,0.9374,"Data Scientist with 6.6 years of experience. Strong background in LoRA, MLOps, MLflow. Willing to relocate (currently Chennai, Tamil Nadu) with a 60-day notice period."
CAND_0042100,76,0.9361,"Machine Learning Engineer with 7.3 years of experience. Strong background in Elasticsearch, Learning to Rank, Pinecone. Willing to relocate (currently Singapore) with a 90-day notice period."
CAND_0060054,77,0.9358,"AI Engineer with 6.4 years of experience. Strong background in Elasticsearch, FAISS, Semantic Search. Willing to relocate (currently Jaipur, Rajasthan) with a 15-day notice period."
CAND_0083852,78,0.9355,"Data Scientist with 6.0 years of experience. Strong background in Eval Metrics, Information Retrieval, MLflow. Willing to relocate (currently Ahmedabad, Gujarat) with a 90-day notice period."
CAND_0096142,79,0.9352,"Applied ML Engineer with 5.0 years of experience. Strong background in LoRA, NLP, Pinecone. Located in Hyderabad, Telangana with a 120-day notice period."
CAND_0081053,80,0.9349,"NLP Engineer with 5.4 years of experience. Strong background in Learning to Rank, LoRA, OpenSearch. Willing to relocate (currently Chandigarh, Chandigarh) with a 90-day notice period."
CAND_0083879,81,0.9349,"Machine Learning Engineer with 7.1 years of experience. Strong background in MLOps, Milvus, Sentence Transformers. Located in Noida, Uttar Pradesh with a 30-day notice period."
CAND_0069905,82,0.9334,"Applied ML Engineer with 6.6 years of experience. Strong background in Eval Metrics, Learning to Rank, LoRA. Willing to relocate (currently Bhubaneswar, Odisha) with a 90-day notice period."
CAND_0007412,83,0.9328,"Applied ML Engineer with 7.4 years of experience. Strong background in Eval Metrics, Milvus, Pinecone. Located in Noida, Uttar Pradesh with a 120-day notice period."
CAND_0037944,84,0.9326,"Senior Data Scientist with 4.9 years of experience. Strong background in Embeddings, Eval Metrics, NLP. Based in Jaipur, Rajasthan (30-day notice period)."
CAND_0011162,85,0.9325,"Recommendation Systems Engineer with 5.8 years of experience. Strong background in Embeddings, FAISS, LoRA. Willing to relocate (currently Coimbatore, Tamil Nadu) with a 90-day notice period."
CAND_0024620,86,0.9323,"AI Engineer with 5.9 years of experience. Strong background in Elasticsearch, Information Retrieval, PEFT. Willing to relocate (currently New York) with a 45-day notice period."
CAND_0004972,87,0.9322,"ML Engineer with 6.0 years of experience. Strong background in Fine-Tuning, MLOps, OpenSearch. Located in Gurgaon, Haryana with a 90-day notice period."
CAND_0069718,88,0.9320,"ML Engineer with 5.7 years of experience. Strong background in Elasticsearch, MLOps, OpenSearch. Willing to relocate (currently Trivandrum, Kerala) with a 60-day notice period."
CAND_0044262,89,0.9319,"Data Scientist with 6.9 years of experience. Strong background in Eval Metrics, Fine-Tuning, MLflow. Willing to relocate (currently Trivandrum, Kerala) with a 90-day notice period."
CAND_0046353,90,0.9319,"ML Engineer with 6.4 years of experience. Strong background in FAISS, MLflow, NLP. Located in Gurgaon, Haryana with a 120-day notice period."
CAND_0016163,91,0.9316,"Applied ML Engineer with 6.7 years of experience. Strong background in Embeddings, LoRA, Pinecone. Located in Gurgaon, Haryana with a 120-day notice period."
CAND_0082489,92,0.9313,"ML Engineer with 5.3 years of experience. Strong background in Eval Metrics, MLOps, MLflow. Located in Noida, Uttar Pradesh with a 90-day notice period."
CAND_0058575,93,0.9307,"AI Engineer with 5.8 years of experience. Strong background in Eval Metrics, MLOps, Pinecone. Willing to relocate (currently Chennai, Tamil Nadu) with a 90-day notice period."
CAND_0022413,94,0.9302,"Data Scientist with 5.8 years of experience. Strong background in LoRA, MLflow, Pinecone. Located in Mumbai, Maharashtra with a 60-day notice period."
CAND_0027801,95,0.9295,"NLP Engineer with 7.4 years of experience. Strong background in FAISS, Learning to Rank, MLOps. Located in Hyderabad, Telangana with a 120-day notice period."
CAND_0065878,96,0.9294,"Senior Data Scientist with 7.8 years of experience. Strong background in MLflow, QLoRA, RAG. Based in Trivandrum, Kerala (15-day notice period)."
CAND_0043860,97,0.9293,"Junior ML Engineer with 6.1 years of experience. Strong background in Eval Metrics, Information Retrieval, Qdrant. Willing to relocate (currently Bhubaneswar, Odisha) with a 30-day notice period."
CAND_0090584,98,0.9292,"ML Engineer with 5.1 years of experience. Strong background in Embeddings, FAISS, Fine-Tuning. Located in Pune, Maharashtra with a 120-day notice period."
CAND_0028287,99,0.9280,"Data Scientist with 5.7 years of experience. Strong background in MLflow, NLP, OpenSearch. Willing to relocate (currently Vizag, Andhra Pradesh) with a 90-day notice period."
CAND_0022614,100,0.9278,"Data Scientist with 6.0 years of experience. Strong background in Fine-Tuning, MLOps, Milvus. Located in Gurgaon, Haryana with a 90-day notice period."
